symbol,sector
ABB,Capital Goods
ADANIENSOL,Energy
ADANIENT,Diversified
ADANIGREEN,Energy
ADANIPORTS,Infrastructure
ADANIPOWER,Power
AMBUJACEM,Cement
APOLLOHOSP,Healthcare
ASIANPAINT,Paints
ATGL,Energy
AXISBANK,Banking
BAJAJ-AUTO,Auto
BAJAJFINSV,Finance
BAJFINANCE,NBFC
BANKBARODA,Banking
BEL,Defence
BHEL,Capital Goods
BPCL,Oil & Gas
BRITANNIA,FMCG
CHOLAFIN,NBFC
CIPLA,Pharma
COALINDIA,Mining
DABUR,FMCG
DLF,Real Estate
DRREDDY,Pharma
EICHERMOT,Auto
GAIL,Oil & Gas
GODREJCP,FMCG
GRASIM,Diversified
HCLTECH,IT
HDFCBANK,Banking
HDFCLIFE,Insurance
HEROMOTOCO,Auto
HINDALCO,Metals
HINDUNILVR,FMCG
ICICIBANK,Banking
ICICIGI,Insurance
ICICIPRULI,Insurance
INDUSINDBK,Banking
INDUSTOWER,Telecom
INFY,IT
IOC,Oil & Gas
IRCTC,Travel
ITC,FMCG
JIOFIN,Finance
JSWSTEEL,Metals
KOTAKBANK,Banking
LT,Capital Goods
LTIM,IT
LTIMINDTRE,IT
M&M,Auto
MARUTI,Auto
MARICO,FMCG
MOTHERSON,Auto Ancillary
MPHASIS,IT
NAUKRI,Internet
NESTLEIND,FMCG
NTPC,Power
ONGC,Oil & Gas
PAGEIND,Textile
PIDILITIND,Chemicals
PIIND,Chemicals
PNB,Banking
POLYCAB,Capital Goods
POWERGRID,Power
RECLTD,Finance
RELIANCE,Diversified
SBICARD,Finance
SBILIFE,Insurance
SHREECEM,Cement
SIEMENS,Capital Goods
SRF,Chemicals
SUNPHARMA,Pharma
TATACONSUM,FMCG
TATAMOTORS,Auto
TATAPOWER,Power
TATASTEEL,Metals
TCS,IT
TECHM,IT
TITAN,Consumer Goods
TORNTPHARM,Pharma
TRENT,Retail
ULTRACEMCO,Cement
UNIONBANK,Banking
VEDL,Metals
WIPRO,IT
ZOMATO,Internet
ZYDUSLIFE,Pharma
